Player Name,Nationality,DOB,Position,Senior Clubs Played For,transfermarkt_id,wikidata_qid
Nemanja Vidić,Serbia,"Oct 21, 1981",DEF,"Red Star Belgrade, Manchester United, Inter Milan",19726,Q163564
Claude Makélélé,France,"Feb 18, 1973",MID,"Nantes, Marseille, Celta Vigo, Real Madrid, Chelsea, Paris Saint-Germain",4182,Q184362
Breno (Bledorn Verri),Brazil,"Oct 13, 1989",DEF,Bayern Munich,52947,Q44742
Gennaro Gattuso,Italy,"Jan 9, 1978",MID,"Rangers, AC Milan",5813,Q116980
Sol Campbell,England,"Sep 18, 1974",DEF,"Tottenham Hotspur, Arsenal, Newcastle United",3198,Q214734
Gianluca Zambrotta,Italy,"Feb 19, 1977",DEF,"Como, Juventus, Barcelona, AC Milan",5757,Q182907
Javier Mascherano,Argentina,"Jun 8, 1984",DEF,"River Plate, Corinthians, West Ham United, Liverpool, Barcelona",19981,Q161571
Rafael Márquez,Mexico,"Feb 13, 1979",DEF,"Monaco, Barcelona",2904,Q186330
Paulo Futre,Portugal,"Feb 28, 1966",FWD,"Sporting CP, Porto, Atlético Madrid, Benfica, Marseille, AC Milan, West Ham United",27705,Q363829
Bixente Lizarazu,France,"Dec 9, 1969",DEF,"Athletic Bilbao, Bayern Munich, Marseille",210,Q44073
Diego Forlán,Uruguay,"May 19, 1979",FWD,"Manchester United, Villarreal, Atlético Madrid, Inter Milan",3408,Q261534
Ricardo Carvalho,Portugal,"May 18, 1978",DEF,"Porto, Chelsea, Real Madrid, Monaco",9828,Q570811
Diego Milito,Argentina,"Jun 12, 1979",FWD,"Genoa, Real Zaragoza, Inter Milan",22202,Q76089
Mario Gómez,Germany,"Jul 10, 1985",FWD,"VfB Stuttgart, Bayern Munich, Fiorentina",6288,Q45766
Vincent Kompany,Belgium,"Apr 10, 1986",DEF,"Anderlecht, Hamburger SV, Manchester City",9594,Q201381
Douglas Maicon,Brazil,"Jul 26, 1981",DEF,"Monaco, Inter Milan, Manchester City, Roma",18301,Q177686
David Ginola,France,"Jan 25, 1967",MID,"Paris Saint-Germain, Newcastle United, Tottenham Hotspur, Aston Villa, Everton",104897,Q42601
Jürgen Kohler,Germany,"Oct 6, 1965",DEF,"FC Köln, Bayern Munich, Juventus, Borussia Dortmund",119,Q308925
Fernando Morientes,Spain,"Apr 5, 1976",FWD,"Real Zaragoza, Real Madrid, Monaco, Liverpool, Valencia, Marseille",7531,Q45567
Solskjær,Norway,"Feb 26, 1973",FWD,Manchester United,3394,Q18976
Freddie Ljungberg,Sweden,"Apr 16, 1977",MID,"Arsenal, West Ham United, Celtic",3134,Q10560
Tomáš Rosický,Czech Republic,"Oct 4, 1980",MID,"Sparta Prague, Borussia Dortmund, Arsenal",132,Q29162
John Arne Riise,Norway,"Sep 24, 1980",DEF,"Monaco, Liverpool, Roma, Fulham",3220,Q189827
Ludovic Giuly,France,"Jul 10, 1976",MID,"Lyon, Monaco, Barcelona, Roma, Paris Saint-Germain",5299,Q219771
Sami Al-Jaber,Saudi Arabia,"Dec 11, 1972",FWD,Al-Hilal,31384,Q299555
Park Ji-sung,South Korea,"Feb 25, 1981",MID,"PSV Eindhoven, Manchester United",4592,Q50603
Blaise Matuidi,France,"Apr 9, 1987",MID,"Paris Saint-Germain, Juventus, Inter Miami",33923,Q1921
Joan Capdevila,Spain,"Feb 3, 1978",DEF,"Espanyol, Atlético Madrid, Deportivo La Coruña, Villarreal, Benfica",7486,Q188793
Dirk Kuyt,Netherlands,"Jul 22, 1980",MID,"Feyenoord, Liverpool, Fenerbahçe",4010,Q294214
Sidney Govou,France,"Jul 27, 1979",FWD,Lyon,5357,Q1934
Ledley King,England,"Oct 12, 1980",DEF,Tottenham Hotspur,3360,Q207401
Claudio Pizarro,Peru,"Oct 3, 1978",FWD,"Bayern Munich, Chelsea, FC Köln",532,Q109397
Mario Mandžukić,Croatia,"May 21, 1986",FWD,"Dinamo Zagreb, VfL Wolfsburg, Bayern Munich, Atlético Madrid, Juventus, AC Milan",34572,Q187171
Walter Zenga,Italy,"Apr 28, 1960",GK,Inter Milan,116754,Q294302
Gianluca Pagliuca,Italy,"Dec 18, 1966",GK,"Inter Milan, Bologna",5985,Q313480
Angelo Peruzzi,Italy,"Feb 16, 1970",GK,"Roma, Juventus, Inter Milan, Lazio",5826,Q294565
Walter Vierchowod,Italy,"Apr 6, 1959",DEF,"Como, Fiorentina, Roma, Juventus, AC Milan",116750,Q351990
Sandro Mazzola,Italy,"Nov 8, 1942",MID,Inter Milan,145344,Q314856
Giuseppe Meazza,Italy,"Aug 23, 1910",FWD,"Inter Milan, AC Milan, Juventus, Atalanta",183779,Q192131
Silvio Piola,Italy,"Sep 29, 1913",FWD,"Lazio, Torino, Juventus",177829,Q296276
Gunnar Nordahl,Sweden,"Oct 19, 1921",FWD,"AC Milan, Roma",140644,Q110111
Ciro Ferrara,Italy,"Feb 11, 1967",DEF,"Napoli, Juventus",5749,Q314078
Steve McManaman,England,"Feb 11, 1972",MID,"Liverpool, Real Madrid, Manchester City",3980,Q294501
Marek Hamšík,Slovakia,"Jul 27, 1987",MID,Napoli,38593,Q201825
Claudio Marchisio,Italy,"Jan 19, 1986",MID,Juventus,44716,Q179995
Harry Kewell,Australia,"Sep 22, 1978",MID,"Leeds United, Liverpool, Galatasaray",3241,Q204429
Dimitar Berbatov,Bulgaria,"Jan 30, 1981",FWD,"Bayer Leverkusen, Tottenham Hotspur, Manchester United, Fulham, Monaco",65,Q170235
Joe Cole,England,"Nov 8, 1981",MID,"West Ham United, Chelsea, Liverpool, Lille, Aston Villa",3876,Q184946
Daniele De Rossi,Italy,"Jul 24, 1983",MID,"Roma, Boca Juniors",5947,Q168497
Pablo Aimar,Argentina,"Nov 3, 1979",MID,"River Plate, Valencia, Real Zaragoza, Benfica",3411,Q130215
Gilberto Silva,Brazil,"Oct 7, 1976",MID,Arsenal,3194,Q190142
Roy Makaay,Netherlands,"Mar 9, 1975",FWD,"Deportivo La Coruña, Bayern Munich, Feyenoord",3994,Q152725
Andrea Barzagli,Italy,"May 8, 1981",DEF,"VfL Wolfsburg, Juventus",7109,Q107051
Landon Donovan,United States,"Mar 4, 1982",MID,"Bayer Leverkusen, Los Angeles Galaxy, Bayern Munich, Everton",68,Q202237
Euzebiusz Smolarek,Poland,"Jan 9, 1981",FWD,"Feyenoord, Borussia Dortmund",4388,Q245295
Al-Noor,Saudi Arabia,"Feb 26, 1978",MID,Al-Nassr,25688,Q381962
Víctor Ibarbo,Colombia,"May 19, 1990",MID,Roma,92141,Q2117509
Tim Cahill,Australia,"Dec 6, 1979",FWD,Everton,13556,Q187238
DaMarcus Beasley,United States,"May 24, 1982",MID,"PSV Eindhoven, Manchester City, Rangers",20584,Q313035
Gervinho (Yao Kouassi),Ivory Coast,"May 27, 1987",MID,"Lille, Arsenal, Roma, Parma",33481,Q208025
Tim Howard,United States,"Mar 6, 1979",GK,"Manchester United, Everton",4267,Q200785
Peter Crouch,England,"Jan 30, 1981",FWD,"Tottenham Hotspur, Aston Villa, Southampton, Liverpool, Stoke City, Burnley",4072,Q180939
Seydou Doumbia,Ivory Coast,"Dec 31, 1987",FWD,"Roma, Newcastle United, Basel, Sporting CP",75287,Q299244
Clint Dempsey,United States,"Mar 9, 1983",MID,"Fulham, Tottenham Hotspur",27577,Q201860
Ricardo Quaresma,Portugal,"Sep 26, 1983",MID,"Sporting CP, Barcelona, Porto, Inter Milan, Chelsea, Al-Ahli",4188,Q188241
Micah Richards,England,"Jun 24, 1988",DEF,"Manchester City, Fiorentina, Aston Villa",32617,Q209944
Leonardo Bonucci,Italy,"May 1, 1987",DEF,"Inter Milan, Juventus, AC Milan, Union Berlin",39983,Q208050
Walter Samuel,Argentina,"Mar 23, 1978",DEF,"Boca Juniors, Roma, Real Madrid, Inter Milan, Basel",5938,Q193702
Marco Materazzi,Italy,"Aug 19, 1973",DEF,"Everton, Inter Milan",5778,Q185081
Christian Panucci,Italy,"Apr 12, 1973",DEF,"Genoa, AC Milan, Real Madrid, Inter Milan, Chelsea, Monaco, Roma, Parma",5940,Q168287
Aldair,Brazil,"Nov 30, 1965",DEF,"Flamengo, Benfica, Roma, Genoa",4151,Q297721
Iván Córdoba,Colombia,"Aug 11, 1976",DEF,Inter Milan,5772,Q231348
Thiago Silva,Brazil,"Sep 22, 1984",DEF,"Porto, Fluminense, AC Milan, Paris Saint-Germain, Chelsea",29241,Q210453
Kalidou Koulibaly,Senegal,"Jun 20, 1991",DEF,"Napoli, Chelsea, Al-Hilal",93128,Q3192187
Tarcisio Burgnich,Italy,"Apr 25, 1939",DEF,"Udinese, Juventus, Inter Milan, Napoli",145342,Q503297
Roberto Rosato,Italy,"Apr 3, 1943",DEF,"Torino, AC Milan, Genoa",216034,Q451321
Aristide Guarneri,Italy,"Mar 7, 1938",DEF,"Como, Inter Milan, Bologna, Napoli",216031,Q665397
Fulvio Collovati,Italy,"May 9, 1957",DEF,"AC Milan, Inter Milan, Udinese, Roma, Genoa",116697,Q366073
Sandro Salvadore,Italy,"Nov 29, 1939",DEF,"AC Milan, Juventus",216035,Q163134
Cesare Maldini,Italy,"Feb 5, 1932",DEF,"AC Milan, Torino",174159,Q296350
Maicon,Brazil,"Jul 26, 1981",DEF,"Monaco, Inter Milan, Manchester City, Roma",18301,Q177686
Serginho,Brazil,"Jun 27, 1971",DEF,"Flamengo, AC Milan",5819,Q312140
Kakha Kaladze,,"Feb 27, 1978",DEF,"AC Milan, Genoa",3430,Q192031
Stephan Lichtsteiner,Switzerland,"Jan 16, 1984",DEF,"Lille, Lazio, Juventus, Arsenal",2865,Q208586
Moreno Torricelli,Italy,"Jan 23, 1970",DEF,"Juventus, Fiorentina, Espanyol",15769,Q371904
Thomas Helveg,Denmark,"Jun 24, 1971",DEF,"Udinese, AC Milan, Inter Milan",5802,Q910192
Amedeo Carboni,Italy,"Apr 6, 1965",DEF,"Parma, Roma, Valencia",7566,Q460603
Gianluca Pessotto,Italy,"Aug 11, 1970",DEF,"Bologna, Torino, Juventus",5751,Q319543
